ID    RISK     STATUS   CVSS-VECTOR  CVSS-BASE  CVSS-VERSION  OWASP  ASVS                                CWE                        MSTG                          OWASP API 2023                   OWASP MASVS (v2)       OWASP MOBILE 2024  PCI-DSS  HIPAA                      GDPR               UPDATED-ON                            VULNERABILITY-ID
--    ----     ------   -----------  ---------  ------------  -----  ----                                ---                        ----                          --------------                   ----------------       -----------------  -------  -----                      ----               ----------                            ----------------
6288  Unknown  Waiting               -1         3             []     []                                  [CWE_916]                  [MSTG_3_2 MSTG_3_3 MSTG_3_4]  []                               [MASVS_2_1]            [M10_2024]         []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:24.487124 +0000 UTC  57
6289  Unknown  Waiting               -1         3             []     []                                  [CWE_288]                  [MSTG_4_9]                    [API4_2023]                      []                     [M3_2024]          []       [164_312_a_1 164_312_d]    [gdpr_25 gdpr_32]  2025-11-17 08:46:24.59697 +0000 UTC   58
6290  Unknown  Waiting               -1         3             []     [ASVS_4_2_1]                        [CWE_639 CWE_862 CWE_863]  []                            [API1_2023 API3_2023 API5_2023]  []                     [M3_2024]          []       [164_312_d]                [gdpr_25 gdpr_32]  2025-11-17 08:46:24.659583 +0000 UTC  60
6291  Unknown  Waiting               -1         3             []     [ASVS_13_1_3]                       [CWE_16]                   []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:24.712639 +0000 UTC  65
6292  Unknown  Waiting               -1         3             []     [ASVS_14_1_2]                       [CWE_120 CWE_134]          []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:24.750831 +0000 UTC  66
6293  Unknown  Waiting               -1         3             []     [ASVS_5_3_8]                        [CWE_120 CWE_134]          []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:24.783064 +0000 UTC  67
6294  Unknown  Waiting               -1         3             []     [ASVS_5_4_3]                        [CWE_190]                  []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:24.815338 +0000 UTC  68
6295  Unknown  Waiting               -1         3             []     [ASVS_5_3_6]                        [CWE_20]                   []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:24.849263 +0000 UTC  69
6296  Unknown  Waiting               -1         3             []     [ASVS_5_3_7]                        [CWE_90]                   []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:24.880929 +0000 UTC  70
6297  Unknown  Waiting               -1         3             []     [ASVS_11_1_4]                       [CWE_400 CWE_185]          []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:24.914682 +0000 UTC  71
6299  Unknown  Waiting               -1         3             []     [ASVS_5_3_5]                        [CWE_89]                   []                            []                               []                     []                 []       [164_312_a_1 164_312_d]    [gdpr_25 gdpr_32]  2025-11-17 08:46:25.028116 +0000 UTC  72
6300  Unknown  Waiting               -1         3             []     [ASVS_5_1_3 ASVS_5_1_4]             [CWE_20]                   []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:25.128627 +0000 UTC  73
6301  Unknown  Waiting               -1         3             []     [ASVS_5_5_2]                        [CWE_611]                  []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:25.200106 +0000 UTC  74
6298  Unknown  Waiting               -1         3             []     [ASVS_5_3_6]                        [CWE_79]                   []                            []                               []                     []                 []       [164_312_a_1 164_312_d]    [gdpr_25 gdpr_32]  2025-11-17 08:46:24.946523 +0000 UTC  75
6302  Unknown  Waiting               -1         3             []     [ASVS_14_5_3]                       [CWE_942]                  []                            [API8_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:25.231241 +0000 UTC  76
6303  Unknown  Waiting               -1         3             []     [ASVS_14_5_1 ASVS_5_3_6]            [CWE_79]                   []                            [API1_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:25.290068 +0000 UTC  77
6304  Unknown  Waiting               -1         3             []     [ASVS_1_9_1]                        [CWE_319]                  []                            [API6_2023]                      []                     []                 []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:25.38891 +0000 UTC   78
6305  Unknown  Waiting               -1         3             []     []                                  [CWE_319]                  [MSTG_5_1]                    []                               [MASVS_5_1]            [M5_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:25.443502 +0000 UTC  82
6306  Unknown  Waiting               -1         3             []     []                                  [CWE_295]                  [MSTG_5_3]                    []                               [MASVS_5_2]            [M5_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:25.57983 +0000 UTC   83
6307  Unknown  Waiting               -1         3             []     []                                  [CWE_200]                  [MSTG_2_4]                    []                               [MASVS_1_2]            [M6_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:25.778412 +0000 UTC  84
6308  Unknown  Waiting               -1         3             []     []                                  [CWE_470]                  [MSTG_6_2]                    []                               [MASVS_4_4]            [M4_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:25.957054 +0000 UTC  85
6309  Unknown  Waiting               -1         3             []     []                                  [CWE_749]                  [MSTG_6_6]                    []                               [MASVS_6_2]            [M4_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:26.126575 +0000 UTC  86
6310  Unknown  Waiting               -1         3             []     [ASVS_13_1_3 ASVS_13_1_2]           [CWE_16]                   []                            [API1_2023 API8_2023]            []                     [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:26.31617 +0000 UTC   87
6311  Unknown  Waiting               -1         3             []     []                                  [CWE_925]                  [MSTG_6_2]                    []                               [MASVS_4_4]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:26.445941 +0000 UTC  88
