ID    RISK     STATUS     CVSS-VECTOR                                   CVSS-BASE  CVSS-VERSION  OWASP  ASVS                                CWE                        MSTG                          OWASP API 2023                   OWASP MASVS (v2)       OWASP MOBILE 2024  PCI-DSS  HIPAA                      GDPR               UPDATED-ON                            VULNERABILITY-ID
--    ----     ------     -----------                                   ---------  ------------  -----  ----                                ---                        ----                          --------------                   ----------------       -----------------  -------  -----                      ----               ----------                            ----------------
5664  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_916]                  [MSTG_3_2 MSTG_3_3 MSTG_3_4]  []                               [MASVS_2_1]            [M10_2024]         []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.10108 +0000 UTC   57
5665  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_288]                  [MSTG_4_9]                    [API4_2023]                      []                     [M3_2024]          []       [164_312_a_1 164_312_d]    [gdpr_25 gdpr_32]  2025-11-14 12:37:21.124127 +0000 UTC  58
5666  Unknown  Waiting                                                  -1         3             []     [ASVS_4_2_1]                        [CWE_639 CWE_862 CWE_863]  []                            [API1_2023 API3_2023 API5_2023]  []                     [M3_2024]          []       [164_312_d]                [gdpr_25 gdpr_32]  2025-11-14 12:37:21.144761 +0000 UTC  60
5667  Unknown  Waiting                                                  -1         3             []     [ASVS_13_1_3]                       [CWE_16]                   []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:21.167426 +0000 UTC  65
5668  Unknown  Waiting                                                  -1         3             []     [ASVS_14_1_2]                       [CWE_120 CWE_134]          []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:21.191695 +0000 UTC  66
5669  Unknown  Waiting                                                  -1         3             []     [ASVS_5_3_8]                        [CWE_120 CWE_134]          []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:21.2137 +0000 UTC    67
5670  Unknown  Waiting                                                  -1         3             []     [ASVS_5_4_3]                        [CWE_190]                  []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:21.237858 +0000 UTC  68
5671  Unknown  Waiting                                                  -1         3             []     [ASVS_5_3_6]                        [CWE_20]                   []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:21.26216 +0000 UTC   69
5672  Unknown  Waiting                                                  -1         3             []     [ASVS_5_3_7]                        [CWE_90]                   []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:21.285119 +0000 UTC  70
5673  Unknown  Waiting                                                  -1         3             []     [ASVS_11_1_4]                       [CWE_400 CWE_185]          []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:21.311283 +0000 UTC  71
